series,result,Ep_1,Ep_2,Ep_3,Ep_4,Ep_5,Ep_6,Ep_7,Ep_8,Ep_9,Ep_10
5,STAR BAKER,Nancy,Richard,Luis,Richard,Kate,Chetna,Richard,Richard,Richard,NA
5,WINNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nancy
6,STAR BAKER,Marie,Ian,Ian,Ian,Nadiya,Mat,Tamal,Nadiya,Nadiya,NA
6,WINNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nadiya
7,STAR BAKER,Jane,Candice,Tom,Benjamina,Candice,Tom,Andrew,Candice,Andrew,NA
7,WINNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,Candice
8,STAR BAKER,Steven,Steven,Julia,Kate,Sophie,Liam,Steven,Stacey,Sophie,NA
8,WINNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sophie
9,STAR BAKER,Manon,Rahul,Rahul,Dan,Kim-Joy,Briony,Kim-Joy,Ruby,Ruby,NA
9,WINNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rahul
10,STAR BAKER,Michelle,Alice,Michael,Steph,Steph,Steph,Henry,Steph,Alice,NA
10,WINNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,David
